id,date,food_prepared,food_sold,waste
1,11-11-2024,380,321,59
2,09-05-2024,289,106,183
3,03-02-2024,474,161,313
4,19-08-2024,113,56,57
5,29-06-2024,343,337,6
6,23-05-2024,356,181,175
7,18-09-2024,91,48,43
8,19-02-2024,168,124,44
9,21-12-2024,363,317,46
10,19-05-2024,283,80,203
11,02-08-2024,254,225,29
12,18-01-2024,126,74,52
13,01-08-2024,261,220,41
14,23-07-2024,84,59,25
15,16-11-2024,70,47,23
16,10-12-2024,134,83,51
17,04-12-2024,182,58,124
18,22-06-2024,411,346,65
19,12-12-2024,65,65,0
20,10-05-2024,169,93,76
21,06-08-2024,382,335,47
22,26-05-2024,361,180,181
23,07-04-2024,481,465,16
24,23-04-2024,149,111,38
25,20-09-2024,499,493,6
26,20-02-2024,347,149,198
27,19-06-2024,437,93,344
28,29-03-2024,62,59,3
29,10-12-2024,390,374,16
30,29-03-2024,468,337,131
31,20-01-2024,139,96,43
32,07-08-2024,441,91,350
33,29-12-2024,235,39,196
34,01-09-2024,142,45,97
35,24-11-2024,137,126,11
36,25-12-2024,263,102,161
37,08-10-2024,422,79,343
38,01-08-2024,142,96,46
39,12-01-2024,404,30,374
40,07-12-2024,423,198,225
41,10-01-2024,344,111,233
42,19-10-2024,250,248,2
43,20-07-2024,255,242,13
44,02-10-2024,65,52,13
45,21-08-2024,316,237,79
46,14-07-2024,143,67,76
47,04-05-2024,442,397,45
48,22-12-2024,195,116,79
49,02-10-2024,147,70,77
50,06-01-2024,422,67,355
51,03-03-2024,228,183,45
52,21-07-2024,189,149,40
53,12-12-2024,170,125,45
54,28-07-2024,358,145,213
55,07-03-2024,97,90,7
56,02-05-2024,359,198,161
57,17-12-2024,266,84,182
58,17-05-2024,212,187,25
59,08-09-2024,276,244,32
60,12-09-2024,298,293,5
61,22-07-2024,279,208,71
62,26-04-2024,415,242,173
63,27-05-2024,84,34,50
64,12-11-2024,204,119,85
65,01-12-2024,88,83,5
66,08-01-2024,441,275,166
67,04-02-2024,492,190,302
68,04-03-2024,223,140,83
69,31-08-2024,391,272,119
70,07-08-2024,121,81,40
71,22-03-2024,204,73,131
72,14-01-2024,95,42,53
73,14-10-2024,68,64,4
74,15-06-2024,433,185,248
75,09-07-2024,449,54,395
76,28-02-2024,321,80,241
77,22-02-2024,367,157,210
78,25-06-2024,190,122,68
79,26-05-2024,161,130,31
80,25-12-2024,335,72,263
81,21-05-2024,462,454,8
82,01-04-2024,426,390,36
83,16-11-2024,336,141,195
